date,close,action,position,cash
2018-01-03,47.709999084472656,buy,1,99898.80002975464
2018-01-04,48.18000030517578,buy,2,99850.62002944946
2018-01-05,48.470001220703125,buy,3,99802.15002822876
2018-01-08,48.97999954223633,buy,4,99753.17002868652
2018-01-09,49.060001373291016,buy,5,99704.11002731323
2018-01-10,48.79999923706055,buy,6,99655.31002807617
2018-01-11,48.95000076293945,buy,7,99606.36002731323
2018-01-12,49.5099983215332,buy,8,99556.8500289917
2018-01-16,49.59000015258789,buy,9,99507.26002883911
2018-01-17,50.27000045776367,buy,10,99456.99002838135
2018-01-18,50.22999954223633,buy,11,99406.76002883911
2018-01-19,50.58000183105469,buy,12,99356.18002700806
2018-01-22,50.709999084472656,buy,13,99305.47002792358
2018-01-23,51.119998931884766,buy,14,99254.3500289917
2018-01-24,51.45000076293945,buy,15,99202.90002822876
2018-01-25,51.599998474121094,buy,16,99151.30002975464
2018-01-26,52.75,buy,17,99098.55002975464
2018-01-29,51.939998626708984,buy,18,99046.61003112793
2018-01-30,50.959999084472656,sell,0,99963.89001464844
2018-01-31,51.59000015258789,hold,0,99963.89001464844
2018-02-01,51.630001068115234,hold,0,99963.89001464844
2018-02-02,50.130001068115234,hold,0,99963.89001464844
2018-02-05,48.09000015258789,hold,0,99963.89001464844
2018-02-06,49.400001525878906,hold,0,99963.89001464844
2018-02-07,48.869998931884766,hold,0,99963.89001464844
2018-02-08,46.84000015258789,hold,0,99963.89001464844
2018-02-09,47.72999954223633,hold,0,99963.89001464844
2018-02-12,48.150001525878906,hold,0,99963.89001464844
2018-02-13,48.4900016784668,buy,1,99915.40001296997
2018-02-14,49.45000076293945,buy,2,99865.95001220703
2018-02-15,50.63999938964844,buy,3,99815.31001281738
2018-02-16,50.709999084472656,buy,4,99764.60001373291
2018-02-20,49.88999938964844,buy,5,99714.71001434326
2018-02-21,49.43000030517578,sell,0,99961.86001586914
2018-02-22,49.59000015258789,hold,0,99961.86001586914
2018-02-23,50.5,buy,1,99911.36001586914
2018-02-26,51.16999816894531,buy,2,99860.1900177002
2018-02-27,50.72999954223633,buy,3,99809.46001815796
2018-02-28,50.66999816894531,buy,4,99758.79001998901
2018-03-01,49.709999084472656,sell,0,99957.6300163269
2018-03-02,50.31999969482422,hold,0,99957.6300163269
2018-03-05,51.290000915527344,buy,1,99906.34001541138
2018-03-06,51.5,buy,2,99854.84001541138
2018-03-07,51.720001220703125,buy,3,99803.12001419067
